Тип,Полное название,Адрес,Часы работы,Рейтинг (звёзды в яндекс-картах),Координаты,Ссылка на официальный сайт
культура,Музей Суворова,Кирочная улица 43,10:00-18:00,4.7,59.943277,30.376575,https://suvorovmuseum.ru/
культура,Аничков дворец,Невский проспект 39,не указано,5.0,59.932993,30.339825,https://anichkov.ru/
культура,Ботанический сад Петра Великого,улица Профессора Попова 2П,11:00-16:30,4.8,59.970541,30.323376,https://botsad-spb.com/
культура,Шереметевский дворец - Музей музыки,набережная реки Фонтанки 34,пн-вс 11:00-19:00 вт-выходной,4.9,59.936488,30.345480,https://theatremuseum.ru/
культура,Юсуповский дворец,набережная реки Мойки 94,10:00-19:30,5.0,59.929384,30.298870,https://yusupov-palace.ru/
культура,Строгановский дворец,Невский проспект 17,пн-вс 10:00-18:00 вт-выходной,4.8,59.935822,30.320684,https://rusmuseum.ru/
культура,Михайловский замок,Садовая улица 2,10:00-19:30,4.9,59.940735,30.337600,https://rusmuseum.ru/
культура,Кунсткамера,Университетская набережная 3,вт-вс 10:00-18:00,4.3,59.941568,30.303408,https://www.kunstkamera.ru/
культура,Мир на ощупь,Лиговский проспект 87,10:00-22:00,5.0,59.924227,30.356261,https://touch-world.ru/
культура,Музей железных дорог России,Библиотечный переулок 4к2,10:00-18:00,5.0,59.905623,30.297750,https://rzd-museum.ru/
культура,Музей Аникушина,Вяземский переулок 8,чт-вс 12:00-19:00,4.9,59.973237,30.297026,https://gmgs.ru/
культура,Музей эмоций,Итальянская улица 1,11:00-21:00,4.3,59.936797,30.328210,https://museumofemotions.ru/
культура,Зоологический музей РАН,Биржевая площадь 2,пн-вс 11:00-19:00 вт-выходной,4.9,59.942642,30.305942,https://www.zin.ru/museum/
культура,Бестиарий,проспект Энгельса 154,11:00-21:00,4.9,60.060078,30.333367,https://bestiary.space/
культура,Особняк-Небылица,улица Некрасова 14 лит Б,10:00-22:00,5.0,59.938976,30.353916,https://небылица.рф/
культура,Музей истории медицины,Невский проспект 41,11:00-18:00,4.8,59.932802,30.344731,https://rfm.spb.ru/
культура,Музей связи Попова,Почтамтский переулок 4,вт-вс 10:30-18:00,4.8,59.932546,30.302112,https://museum.vniim.ru/
еда,Теремок,Невский проспект 93,10:00-23:00,5.0,59.936800,30.343600,https://teremok.ru/
еда,Пышечная,Большая Конюшенная 25,09:00-20:00,5.0,59.937500,30.322500,
еда,Папаша Клаус,Приморский проспект 139,13:00-00:00,4.8,59.984700,30.251900,papashaclauss.ru
еда,Игристые,переулок Гривцова 13/11,12:00-23:00,4.6,59.936120,30.320120,igristie.ru
еда,ПхалиХинкали,Невский проспект 32/34,12:00-23:00,5.0,59.935600,30.326600,phali-hinkali.ru
еда,булочная Вольчек,Гражданская улица 18/7,08:00-22:00,4.9,59.933900,30.333000,fvolchek.ru
